"空间键","空间名称","页面ID","父页面ID","父页面标题","标题","层级深度","同级序号","目录路径","主题推断","最后修改时间","最后修改人","子页面是否截断","链接"
"~fengmeimei","冯美美","119708399","","","冯美美的主页","0","1","冯美美的主页","其他","2021-03-25 09:27:35","冯美美","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=119708399"
"~fengmeimei","冯美美","134684631","119708399","冯美美的主页","刘洪刚权限申请","1","1","冯美美的主页 / 刘洪刚权限申请","其他","2021-08-19 18:15:19","未知用户 (liuhonggang3)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=134684631"
"~fengmeimei","冯美美","256861356","119708399","冯美美的主页","复制从 202407月度过程指标会议 20240729","1","2","冯美美的主页 / 复制从 202407月度过程指标会议 20240729","会议与协同","2024-08-02 17:37:31","冯美美","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=256861356"
"~fengmeimei","冯美美","187814693","119708399","冯美美的主页","文件列表","1","3","冯美美的主页 / 文件列表","其他","2022-11-25 15:56:20","未知用户 (maxiaona)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=187814693"
"~fengmeimei","冯美美","234518997","187814693","文件列表","测试文件上传下载","2","1","冯美美的主页 / 文件列表 / 测试文件上传下载","测试与验证","2024-04-26 14:01:33","test","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=234518997"
"~fengmeimei","冯美美","234502175","119708399","冯美美的主页","测试","1","4","冯美美的主页 / 测试","测试与验证","2024-04-26 14:00:09","test","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=234502175"
